Provider ID,City,Store name,Address,Latitude,Longitude,Manual_radius_km,Est_CPO_EUR
982688,Kyiv,"ФОРА вул. Сагайдачного, 20А","Софіївська Борщагівка, вул. Сагайдачного, 20А",50.404432,30.335944,1.5,1.97
382677,Kyiv,"ФОРА вул. Львівська, 1 А","Петропавлівська Борщагівка, вул. Львівська, 1 А",50.433721,30.318293,2.1,2.06
592685,Kyiv,"ФОРА вул. Доківська, 14/1","Коцюбинське, вул. Доківська, 14/1",50.491513,30.335365,2.5,2.13
352672,Kyiv,"ФОРА вул. Інститутська, 16","Гатне, вул. Інститутська, 16",50.356432,30.43721,2.0,2.05
292686,Kyiv,"ФОРА вул. Волинська, 9б","Київ, вул. Волинська, 9б",50.429382,30.451266,1.4,1.95
592686,Kyiv,"ФОРА вул. Кирила Осьмака, 1Б","Київ, вул. Кирила Осьмака, 1Б",50.385199,30.69327,1.6,1.98
562671,Kyiv,"ФОРА вул. Київська, 2-Л","Вишневе, вул. Київська, 2-Л",50.390391,30.359834,1.3,1.94
892676,Kyiv,"ФОРА вул. Одеська, 70","Крюківщина, вул. Одеська, 70",50.369674,30.388821,2.6,2.14
262694,Kyiv,"ФОРА Машинобудівельн, 5Д","Чабани, Машинобудівельн, 5Д",50.342633,30.427284,1.8,2.02
322679,Kyiv,"ФОРА вул. Соборна, 16","Петропавлівська Борщагівка, вул. Соборна, 16",50.437223,30.346943,1.9,2.03
442678,Kyiv,"ФОРА пл. Михайлівська, 6","Боярка, пл. Михайлівська, 6",50.317714,30.297758,1.3,1.94
892677,Kyiv,"ФОРА вул. Приміська, 26","Новосілки, вул. Приміська, 26",50.356227,30.43875,1.4,1.95
352673,Kyiv,"ФОРА вул. Тираспольська, 56","Київ, вул. Тираспольська, 56",50.480841,30.414301,1.5,1.97
352674,Kyiv,"ФОРА вул. Васильківська, 21","Новосілки, вул. Васильківська, 21",50.352417,30.45941,1.4,1.95
472663,Kyiv,"ФОРА пров. Ізяславський, 46-49","Київ, пров. Ізяславський, 46-49",50.395466,30.425644,2.4,2.11
322680,Kyiv,"ФОРА вул. Пономарьова, 26","Коцюбинське, вул. Пономарьова, 26",50.488403,30.342335,2.7,2.16
472664,Kyiv,"ФОРА бульв. Л.Українки, 28","Київ, бульв. Л.Українки, 28",50.425229,30.541101,2.2,2.08
892678,Kyiv,"ФОРА вул. О.Вишні, 3","Вишневе, вул. О.Вишні, 3",50.391313,30.373391,1.3,1.94
1042654,Kyiv,"ФОРА вул. Машинобудівників, 11А","Вишневе, вул. Машинобудівників, 11А",50.394275,30.377683,1.4,1.95
862680,Kyiv,"ФОРА вул. Лютеранська, 3","Київ, вул. Лютеранська, 3",50.44628,30.523217,1.7,2.00
892679,Kyiv,"ФОРА просп. Неб. Сотні, 38","Софіївська Борщагівка, просп. Неб. Сотні, 38",50.408753,30.327276,1.5,1.97
742690,Kyiv,"ФОРА вул. Преображенська, 28","Київ, вул. Преображенська, 28",50.420082,30.478505,1.3,1.94
382678,Kyiv,"ФОРА вул. Івана Франка, 101А","Боярка, вул. Івана Франка, 101А",50.307733,30.315612,1.3,1.94
802681,Kyiv,"ФОРА Академіка Булаховського, 3А","Київ, Академіка Булаховського, 3А",50.46894,30.336154,1.8,2.02
892680,Kyiv,"ФОРА просп. Берестейський, 60","Київ, просп. Берестейський, 60",50.457272,30.43509,1.3,1.94
472665,Kyiv,"ФОРА вул. Полуботка, 9-Г","Київ, вул. Полуботка, 9-Г",50.456098,30.615109,1.3,1.94
442679,Kyiv,"ФОРА бульв. Гавела Вацлава, 4","Київ, бульв. Гавела Вацлава, 4",50.447361,30.426301,1.3,1.94
952670,Kyiv,"ФОРА вул. Зарічна, 6","Київ, вул. Зарічна, 6",50.395212,30.606318,2.1,2.06
322681,Kyiv,"ФОРА вул. Чавдар, 32","Київ, вул. Чавдар, 32",50.390303,30.625804,1.5,1.97
352675,Kyiv,"ФОРА вул. Чорновола, 27","Київ, вул. Чорновола, 27",50.453625,30.485098,1.4,1.95
502673,Kyiv,"ФОРА просп. Науки, 58В","Київ, просп. Науки, 58В",50.381294,30.532801,1.3,1.94
982687,Kyiv,"ФОРА вул. Донецька, 8А","Київ, вул. Донецька, 8А",50.426173,30.455145,1.4,1.95
592687,Kyiv,"ФОРА просп. Лісовий, 15","Київ, просп. Лісовий, 15",50.482246,30.627907,1.3,1.94
382679,Kyiv,"ФОРА вул. Сергія Колоса, 1Б","Київ, вул. Сергія Колоса, 1Б",50.391149,30.46158,1.9,2.03
412678,Kyiv,"ФОРА вул. Деміївська, 13","Київ, вул. Деміївська, 13",50.403982,30.513497,1.3,1.94
1042655,Kyiv,"ФОРА вул. Сверстюка, 6-А","Київ, вул. Сверстюка, 6-А",50.448348,30.5991,1.3,1.94
802682,Kyiv,"ФОРА вул. Максимовича, 3-д","Київ, вул. Максимовича, 3-д",50.390623,30.479605,1.3,1.94
